id,timestamp,type,value,isSynced
1,2025-05-05 16:43:58.967,steps,2044,
2,2025-05-05 16:43:59.629,heart_rate,88,
3,2025-05-05 16:44:09.654,heart_rate,0,
4,2025-05-05 16:44:11.492,steps,2054,
5,2025-05-05 16:44:12.267,steps,2055,
6,2025-05-05 16:44:12.892,steps,2056,
7,2025-05-05 16:44:13.596,steps,2057,
8,2025-05-05 16:44:14.230,steps,2058,
9,2025-05-05 16:44:14.775,steps,2059,
10,2025-05-05 16:44:15.414,steps,2060,
11,2025-05-05 16:44:17.413,steps,2060,
12,2025-05-05 16:44:18.810,steps,2063,
13,2025-05-05 16:44:19.380,steps,2064,
14,2025-05-05 16:44:19.674,heart_rate,46,
15,2025-05-05 16:44:20.450,steps,2065,
16,2025-05-05 16:44:21.564,steps,2066,
17,2025-05-05 16:44:22.169,steps,2067,
18,2025-05-05 16:44:22.647,steps,2068,
19,2025-05-05 16:44:23.330,steps,2069,
20,2025-05-05 16:44:24.785,steps,2070,
21,2025-05-05 16:44:25.428,steps,2071,
22,2025-05-05 16:44:26.074,steps,2072,
23,2025-05-05 16:44:26.680,steps,2073,
24,2025-05-05 16:44:27.283,steps,2074,
25,2025-05-05 16:44:29.270,steps,2074,
26,2025-05-05 16:44:29.692,heart_rate,60,
27,2025-05-05 16:44:31.329,steps,2077,
28,2025-05-05 16:44:31.950,steps,2078,
29,2025-05-05 16:44:37.889,steps,2084,
30,2025-05-05 16:44:37.911,steps,2085,
31,2025-05-05 16:44:38.638,steps,2086,
32,2025-05-05 16:44:39.700,heart_rate,0,
33,2025-05-05 16:44:40.652,steps,2086,
34,2025-05-05 16:44:42.944,steps,2089,
35,2025-05-05 16:44:43.689,steps,2090,
36,2025-05-05 16:44:44.286,steps,2091,
37,2025-05-05 16:44:44.948,steps,2092,
38,2025-05-05 16:44:45.426,steps,2093,
39,2025-05-05 16:44:46.081,steps,2094,
40,2025-05-05 16:44:46.664,steps,2095,
41,2025-05-05 16:44:47.405,steps,2096,
42,2025-05-05 16:44:48.146,steps,2097,
43,2025-05-05 16:44:49.735,heart_rate,86,
44,2025-05-05 16:44:57.825,steps,2110,
45,2025-05-05 16:44:58.108,steps,2111,
46,2025-05-05 16:44:58.621,steps,2112,
47,2025-05-05 16:44:59.647,steps,2113,
48,2025-05-05 16:44:59.748,heart_rate,89,
49,2025-05-05 16:45:00.146,steps,2114,
50,2025-05-05 16:45:00.824,steps,2115,
51,2025-05-05 16:45:01.140,steps,2116,
52,2025-05-05 16:45:01.991,steps,2118,
53,2025-05-05 16:45:05.118,steps,2122,
54,2025-05-05 16:45:05.144,steps,2124,
55,2025-05-05 16:45:07.154,steps,2124,
56,2025-05-05 16:45:09.772,heart_rate,94,
57,2025-05-05 16:46:04.509,heart_rate,94,
58,2025-05-05 16:46:42.063,heart_rate,85,
59,2025-05-05 16:48:57.487,heart_rate,89,
60,2025-05-05 16:48:57.501,steps,2134,
61,2025-05-05 16:48:57.502,steps,2136,
62,2025-05-05 16:48:57.504,steps,2136,
63,2025-05-05 16:49:03.372,steps,2136,
64,2025-05-05 16:49:04.277,heart_rate,0,
65,2025-05-05 16:49:08.989,steps,2142,
66,2025-05-05 16:49:09.551,steps,2143,
67,2025-05-05 16:49:15.350,steps,2153,
68,2025-05-05 16:49:15.354,steps,2154,
69,2025-05-05 16:49:15.868,steps,2155,
70,2025-05-05 16:49:16.024,heart_rate,0,
71,2025-05-05 16:49:16.558,steps,2156,
72,2025-05-05 16:49:17.131,steps,2157,
73,2025-05-05 16:49:17.732,steps,2158,
74,2025-05-05 16:49:18.367,steps,2159,
75,2025-05-05 16:49:19.304,steps,2160,
76,2025-05-05 16:49:19.791,steps,2161,
77,2025-05-05 16:49:20.452,steps,2162,
78,2025-05-05 16:49:20.976,steps,2163,
79,2025-05-05 16:49:21.395,steps,2164,
80,2025-05-05 16:49:22.091,steps,2165,
81,2025-05-05 16:49:22.627,steps,2166,
82,2025-05-05 16:49:23.357,steps,2167,
83,2025-05-05 16:49:23.925,steps,2168,
84,2025-05-05 16:49:24.464,steps,2169,
85,2025-05-05 16:49:25.045,steps,2170,
86,2025-05-05 16:49:25.660,steps,2171,
87,2025-05-05 16:49:26.051,heart_rate,0,
88,2025-05-05 16:49:26.701,steps,2172,
89,2025-05-05 16:49:27.170,steps,2173,
90,2025-05-05 16:49:27.805,steps,2174,
91,2025-05-05 16:49:34.210,steps,2184,
92,2025-05-05 16:49:35.198,steps,2185,
93,2025-05-05 16:49:35.874,steps,2186,
94,2025-05-05 16:49:36.065,heart_rate,0,
95,2025-05-05 16:49:36.463,steps,2187,
96,2025-05-05 16:49:37.069,steps,2188,
97,2025-05-05 16:49:37.964,steps,2189,
98,2025-05-05 16:49:38.498,steps,2190,
99,2025-05-05 16:49:39.150,steps,2191,
100,2025-05-05 16:49:39.702,steps,2192,
101,2025-05-05 16:49:40.276,steps,2193,
102,2025-05-05 16:49:40.852,steps,2194,
103,2025-05-05 16:49:41.510,steps,2195,
104,2025-05-05 16:49:44.102,steps,2199,
105,2025-05-05 16:49:44.313,steps,2200,
106,2025-05-05 16:49:45.896,steps,2202,
107,2025-05-05 16:49:46.076,heart_rate,0,
108,2025-05-05 16:49:47.392,steps,2203,
109,2025-05-05 16:49:48.007,steps,2204,
110,2025-05-05 16:49:48.510,steps,2205,
111,2025-05-05 16:49:49.104,steps,2206,
112,2025-05-05 16:49:49.667,steps,2207,
113,2025-05-05 16:49:50.942,steps,2208,
114,2025-05-05 16:49:51.546,steps,2209,
115,2025-05-05 16:49:52.165,steps,2210,
116,2025-05-05 16:49:52.747,steps,2211,
117,2025-05-05 16:49:53.224,steps,2212,
118,2025-05-05 16:49:53.884,steps,2213,
119,2025-05-05 16:49:56.109,heart_rate,62,
120,2025-05-05 16:49:59.746,steps,2220,
121,2025-05-05 16:49:59.930,steps,2222,
122,2025-05-05 16:50:00.849,steps,2223,
123,2025-05-05 16:50:02.182,steps,2225,
124,2025-05-05 16:50:02.827,steps,2226,
125,2025-05-05 16:50:03.899,steps,2228,
126,2025-05-05 16:50:04.535,steps,2229,
127,2025-05-05 16:50:05.074,steps,2230,
128,2025-05-05 16:50:05.567,steps,2231,
129,2025-05-05 16:50:06.188,steps,2232,
130,2025-05-05 16:50:06.767,steps,2233,
131,2025-05-05 16:50:07.094,heart_rate,61,
132,2025-05-05 16:50:07.161,steps,2234,
